,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,train3
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,train4
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,test1
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,test0
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,test0
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,train2
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,test1
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,test1
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,test1
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,train2
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,train4
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,train4
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,train4
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,test0
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,test1
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,train2
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,train3
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,test0
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,train4
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,test0
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,train4
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,train3
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,train3
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,train4
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,test0
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,train3
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test0
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test1
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,train3
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,train2
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,train3
31,Bahai,./data_dsicap/Bahai/raw/Bahai32.txt,train4
32,Bahai,./data_dsicap/Bahai/raw/Bahai33.txt,train2
33,Bahai,./data_dsicap/Bahai/raw/Bahai34.txt,test1
34,Bahai,./data_dsicap/Bahai/raw/Bahai35.txt,train2
35,Bahai,./data_dsicap/Bahai/raw/Bahai36.txt,test1
36,Bahai,./data_dsicap/Bahai/raw/Bahai37.txt,test1
37,Bahai,./data_dsicap/Bahai/raw/Bahai38.txt,test0
38,Bahai,./data_dsicap/Bahai/raw/Bahai39.txt,train2
39,Bahai,./data_dsicap/Bahai/raw/Bahai40.txt,test0
40,Bahai,./data_dsicap/Bahai/raw/Bahai41.txt,test1
41,Bahai,./data_dsicap/Bahai/raw/Bahai42.txt,train2
42,Bahai,./data_dsicap/Bahai/raw/Bahai43.txt,train2
43,Bahai,./data_dsicap/Bahai/raw/Bahai44.txt,train3
44,Bahai,./data_dsicap/Bahai/raw/Bahai45.txt,train2
45,Bahai,./data_dsicap/Bahai/raw/Bahai46.txt,train4
