,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,test2
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,test5
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,test0
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,test1
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,test3
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,test2
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,test1
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,test9
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,test4
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,test9
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,test4
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,test0
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,test5
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,test9
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,test0
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,test9
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,test1
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,test2
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,test2
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,test8
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,test3
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,test7
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,test6
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,test7
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,test9
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,test6
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test1
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test4
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,test4
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,test5
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,test8
31,Bahai,./data_dsicap/Bahai/raw/Bahai32.txt,test7
32,Bahai,./data_dsicap/Bahai/raw/Bahai33.txt,test0
33,Bahai,./data_dsicap/Bahai/raw/Bahai34.txt,test4
34,Bahai,./data_dsicap/Bahai/raw/Bahai35.txt,test3
35,Bahai,./data_dsicap/Bahai/raw/Bahai36.txt,test8
